name,dataset,F1,IoU,MAE
Casiav1__Sp_D_NND_A_ani0025_cha0014_0593.png,Casiav1,0.0,0.0,0.135101318359375
Casiav1__Sp_D_NND_A_ani0025_cha0081_0594.png,Casiav1,0.0,0.0,0.3369140625
Casiav1__Sp_D_NND_A_ani0085_arc0089_0595.png,Casiav1,0.0,0.0,0.1083272323012352
Casiav1__Sp_D_NND_A_ani0093_ani0075_0596.png,Casiav1,0.0,0.0,0.078857421875
Casiav1__Sp_D_NND_A_ani0097_ani0047_0597.png,Casiav1,0.0,0.0,0.0860595703125
Casiav1__Sp_D_NND_A_arc0011_art0062_0598.png,Casiav1,0.0,0.0,0.1821085661649704
Casiav1__Sp_D_NND_A_arc0025_arc0090_0185.png,Casiav1,0.0,0.0,0.010609944351017475
Casiav1__Sp_D_NND_A_arc0087_arc0018_0186.png,Casiav1,0.0,0.0,0.0386149100959301
Casiav1__Sp_D_NND_A_art0010_art0011_0599.png,Casiav1,0.0,0.0,0.256378173828125
Casiav1__Sp_D_NND_A_art0025_art0019_0090.png,Casiav1,0.0,0.0,0.009531657211482525
Casiav1__Sp_D_NND_A_art0040_arc0079_0600.png,Casiav1,0.0,0.0,0.09442138671875
Casiav1__Sp_D_NND_A_art0050_art0080_0092.png,Casiav1,0.0,0.0,0.0543314628303051
Casiav1__Sp_D_NND_A_cha0042_arc0036_0601.png,Casiav1,0.0,0.0,0.1223042830824852
Casiav1__Sp_D_NND_A_cha0059_cha0081_0602.png,Casiav1,0.0,0.0,0.0362345390021801
Casiav1__Sp_D_NND_A_cha0066_cha0071_0603.png,Casiav1,0.0,0.0,0.0632425919175148
Casiav1__Sp_D_NND_A_cha0079_cha0005_0604.png,Casiav1,0.0,0.0,0.02070108987390995
Casiav1__Sp_D_NND_A_cha0090_cha0082_0187.png,Casiav1,0.0,0.0,0.0053304038010537624
Casiav1__Sp_D_NND_A_cha0094_cha0089_0605.png,Casiav1,0.0,0.0,0.109161376953125
Casiav1__Sp_D_NND_A_cha0097_arc0005_0606.png,Casiav1,0.0,0.0,0.0827433243393898
Casiav1__Sp_D_NND_A_nat0015_nat0014_0607.png,Casiav1,0.0,0.0,0.085601806640625
Casiav1__Sp_D_NND_A_nat0022_ani0063_0188.png,Casiav1,0.0,0.0,0.0960693359375
Casiav1__Sp_D_NND_A_nat0023_nat0013_0608.png,Casiav1,0.0,0.0,0.029815673828125
Casiav1__Sp_D_NND_A_nat0031_nat0033_0609.png,Casiav1,0.0,0.0,0.0890909805893898
Casiav1__Sp_D_NND_A_nat0031_nat0096_0610.png,Casiav1,0.0,0.0,0.116302490234375
Casiav1__Sp_D_NND_A_nat0072_nat0002_0611.png,Casiav1,0.0,0.0,0.014414469711482525
Casiav1__Sp_D_NND_A_nat0075_arc0069_0612.png,Casiav1,0.0,0.0,0.233001708984375
Casiav1__Sp_D_NND_A_nat0090_cha0008_0613.png,Casiav1,0.0,0.0,0.01955159567296505
Casiav1__Sp_D_NND_A_pla0042_pla0043_0614.png,Casiav1,0.0,0.0,0.0827128067612648
Casiav1__Sp_D_NND_A_pla0058_ani0082_0592.png,Casiav1,0.0,0.0,0.1365763396024704
Casiav1__Sp_D_NND_A_sec0008_ani0011_0615.png,Casiav1,0.0,0.0,0.02294921875
Casiav1__Sp_D_NND_A_sec0009_ani0008_0616.png,Casiav1,0.0,0.0,0.0511983223259449
Casiav1__Sp_D_NND_A_sec0014_ani0016_0617.png,Casiav1,0.0,0.0,0.0412801094353199
Casiav1__Sp_D_NND_A_sec0019_ani0006_0618.png,Casiav1,0.0,0.0,0.075653076171875
Casiav1__Sp_D_NND_A_sec0066_cha0030_0619.png,Casiav1,0.0,0.0,0.0720113143324852
Casiav1__Sp_D_NND_A_sec0067_ani0096_0620.png,Casiav1,0.0,0.0,0.0690104141831398
Casiav1__Sp_D_NND_A_sec0072_sec0010_0621.png,Casiav1,0.0,0.0,0.1171773299574852
Casiav1__Sp_D_NND_A_sec0084_ani0038_0622.png,Casiav1,0.0,0.0,0.0408528633415699
Casiav1__Sp_D_NND_A_sec0095_art0086_0623.png,Casiav1,0.0,0.0,0.0395100899040699
Casiav1__Sp_D_NND_C_cha0076_cha0065_0190.png,Casiav1,0.0,0.0,0.01833089254796505
Casiav1__Sp_D_NND_C_nat0029_nat0054_0624.png,Casiav1,0.0,0.0,0.1865946501493454
Casiav1__Sp_D_NND_R_cha0080_art0089_0625.png,Casiav1,0.0,0.0,0.1438802033662796
Casiav1__Sp_D_NNN_A_ani0014_ani0015_0283.png,Casiav1,0.0,0.0,0.0870259627699852
Casiav1__Sp_D_NNN_A_ani0028_pla0007_0284.png,Casiav1,0.0,0.0,0.1034444198012352
Casiav1__Sp_D_NNN_A_ani0033_ani0034_0285.png,Casiav1,0.0,0.0,0.0799967423081398
Casiav1__Sp_D_NNN_A_ani0044_ani0051_0286.png,Casiav1,0.0,0.0,0.02454630471765995
Casiav1__Sp_D_NNN_A_ani0055_pla0025_0287.png,Casiav1,0.0,0.0,0.1033223494887352
Casiav1__Sp_D_NNN_A_ani0099_ani0100.0288.png,Casiav1,0.0,0.0,0.0532328300178051
