run_id,group_id,parent_run,status,stage,commit,config_hash,resolution,seed,reference_source_mode,reference_hash,calibration_hash,best_epoch,best_all8_macro_pixel_f1,final_epoch,final_all8_macro_pixel_f1,elapsed_seconds,report_path,failure_reason
TECT-DIFF-FULL-R512-S42-20260915-A,TECT-DIFF-FULL-V1,,INTERRUPTED,REFERENCE,4b4b785103f10ec9d9281cc8af095e3f91609433,a4f51026de58c24351b69ea9b60cf3db83ef22e1c1b12bc6db5c410ae6ef6a12,512,42,authentic,,,,,,,2280.32749832049,analysis_reports/runs/TECT-DIFF-FULL-R512-S42-20260915-A/report.md,Controller terminated only its registered worker process group
TECT-DIFF-FULL-R512-S42-REFNORM-V2-20260915-B,TECT-DIFF-FULL-REFNORM-V2,,INTERRUPTED,REFERENCE,100d46edb1f73dd59fa0d57277e07c2925c53278,0b0358aa4908b852bb53113467184483fbb11d4be517eb58548ba80757052f88,512,42,authentic,,,,,,,379.24750092998147,analysis_reports/runs/TECT-DIFF-FULL-R512-S42-REFNORM-V2-20260915-B/report.md,Controller terminated only its registered worker process group
