name,prefix,F1,IoU,MAE
BN (2557).png,BN,0.16859271233834325,0.09205637297294074,0.521067202091217
BN (2560).png,BN,0.040178041543026705,0.020500863034854495,0.5713717937469482
BN (2569).png,BN,0.03146767460696559,0.015985348170842354,0.45961669087409973
BN (2578).png,BN,0.050695274106735966,0.026006849228514022,0.41880086064338684
BN (2586).png,BN,0.02235419035358898,0.011303434742738767,0.5015228390693665
BN (2593).png,BN,0.10608993099308055,0.0560163508971201,0.520387589931488
BN (2594).png,BN,0.005933815138836059,0.0029757363039829084,0.48318806290626526
BN (2604).png,BN,0.0323580206742923,0.016445075381742506,0.4652114808559418
BN (2609).png,BN,0.297819008847541,0.17496318569854494,0.38795241713523865
BN (2619).png,BN,0.010528626792157462,0.005292173053579054,0.49984967708587646
BN (2624).png,BN,0.2614051826771255,0.1503542861583142,0.4225347638130188
BN (2655).png,BN,0.07647543097813221,0.03975796941185979,0.5321195721626282
BN (2661).png,BN,0.10672954484287821,0.05637311064151199,0.5380262732505798
BN (2671).png,BN,0.04793640500978662,0.024556784488379817,0.49678152799606323
BN (2682).png,BN,0.11086608204262358,0.058686195292336596,0.49938246607780457
BN (2693).png,BN,0.009273250203587853,0.004658223537979892,0.5040358901023865
BN (2717).png,BN,0.02955596301020408,0.014999645996217217,0.5443825125694275
BN (2723).png,BN,0.012459361937765711,0.006268733176652452,0.49762555956840515
BN (2735).png,BN,0.18336097067745197,0.10093417994318334,0.49238014221191406
BN (3956).png,BN,0.05550654033526411,0.02854550117377838,0.475075364112854
BN (3968).png,BN,0.045948217983220775,0.02351432976653135,0.45942971110343933
BN (3975).png,BN,0.06604095336383649,0.03414806196579239,0.516037106513977
BN (3992).png,BN,0.0277819628167656,0.014086658925624886,0.5603598952293396
BN (3999).png,BN,0.13757827411847437,0.07387063424281926,0.49921879172325134
EI (2002).png,EI,0.3681438911198211,0.2255982553341978,0.4412616193294525
EI (2009).png,EI,0.29612998440243127,0.17379845979540565,0.5009725689888
EI (2012).png,EI,0.2596228353704219,0.14917619045276317,0.48399826884269714
EI (2020).png,EI,0.2855343198584926,0.1665442027599674,0.4629826545715332
EI (2038).png,EI,0.2594725622335305,0.1490769732228401,0.46741726994514465
EI (2040).png,EI,0.3049098565062753,0.17987825466192034,0.47608867287635803
EI (2043).png,EI,0.13643304283785443,0.07321070075508086,0.4789327085018158
EI (2056).png,EI,0.24339713688274087,0.13856127756208336,0.5007035732269287
EI (2076).png,EI,0.3882144151693036,0.24085983819620901,0.492809534072876
EI (2082).png,EI,0.29735866070518013,0.17464550744922985,0.4862678050994873
EI (2088).png,EI,0.29945056739859016,0.1760904809103412,0.4305289089679718
EI (2093).png,EI,0.2224555939814228,0.1251476999551807,0.47600287199020386
EI (2102).png,EI,0.22896910992633593,0.12928577994300947,0.4730289578437805
EI (2156).png,EI,0.24305988623693708,0.13834272684249022,0.44332340359687805
EI (2158).png,EI,0.2923305455507397,0.171186844613918,0.48541462421417236
EI (2169).png,EI,0.4094404907604672,0.2574191587186989,0.4422755539417267
EI (2174).png,EI,0.40547100703219086,0.2542888895845725,0.5465225577354431
EI (2194).png,EI,0.13987467803275402,0.07519637326630459,0.49541088938713074
EI (2202).png,EI,0.17657555492553742,0.09683733011395855,0.41011375188827515
EI (2219).png,EI,0.2872312916961161,0.1676999879222191,0.4642241299152374
EI (2221).png,EI,0.4757770769570935,0.3121440241872681,0.43469247221946716
EI (2227).png,EI,0.3314584039419141,0.1986515677673134,0.5190025568008423
EI (2240).png,EI,0.3251377039495404,0.19412802157900197,0.4293729066848755
EI (2253).png,EI,0.28439660643935266,0.16577060147281594,0.5114237666130066
EI (2279).png,EI,0.2404201310249434,0.13663496341600367,0.4950888752937317
EI (2283).png,EI,0.42597599734357955,0.27062865408956666,0.41032809019088745
EI (2290).png,EI,0.19342986294084943,0.10707022050952687,0.4986332952976227
EI (2295).png,EI,0.1287201618863861,0.06878723281502641,0.47302407026290894
EI (2313).png,EI,0.374163295844186,0.23013584014174623,0.44591355323791504
EI (2318).png,EI,0.3187835177516801,0.18961479447629814,0.4492144286632538
EI (2325).png,EI,0.3259251590341765,0.19468971820049613,0.4309978187084198
EI (2339).png,EI,0.23502759312680296,0.13316219121134867,0.4821106195449829
EI (2389).png,EI,0.2984817724424044,0.17542084922055354,0.47688478231430054
EI (2390).png,EI,0.2692512414966981,0.15556922411404084,0.46548575162887573
EI (2391).png,EI,0.4050747045053897,0.2539772274285549,0.4364579916000366
EI (2396).png,EI,0.4274354527307831,0.2718078907940736,0.4662074148654938
EI (2400).png,EI,0.3134281500085892,0.18583741333651774,0.5106371641159058
EI (2409).png,EI,0.38912439565757573,0.24156079749958115,0.4973945617675781
EI (2413).png,EI,0.10336719755112905,0.05450037425149701,0.52018141746521
EI (2421).png,EI,0.2809969940084103,0.1634650975181512,0.4943588972091675
EI (2446).png,EI,0.2678193306493052,0.15461397034854155,0.48412683606147766
EI (2455).png,EI,0.2937596599690881,0.17216780841306686,0.4905718266963959
EI (2456).png,EI,0.16637538777718527,0.09073579546660666,0.49357926845550537
EI (2461).png,EI,0.3329723567968082,0.19974015317286653,0.4245392084121704
EI (2484).png,EI,0.15213294986044798,0.08232894777195081,0.44018954038619995
EI (2499).png,EI,0.2303806741228481,0.13018657219323412,0.5007727742195129
EI (2504).png,EI,0.3152144132176512,0.18709467583923045,0.4630616009235382
EI (2517).png,EI,0.3266632626305839,0.19521669209517134,0.48606961965560913
EI (2526).png,EI,0.4674820379810989,0.30504180020523197,0.4074702560901642
EI (2528).png,EI,0.2153628691630214,0.12067599930637897,0.4586372375488281
